[1.3776308663336465, 0.0, 'arm stopped', 1447936663.024, 0.0049246005423204675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3795872203961879, 0.0, 'closing forearm', 1447936663.221, 0.0019563540625413545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.379824193336915, 0.0, 'forearm stopped', 1447936663.322, 0.0002369729407272203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3775220430702058, 0.0, 'opening forearm', 1447936663.522, -0.002302150266709324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3742924817819464, 0.0, 'forearm stopped', 1447936663.724, -0.0032295612882593527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3736893228364389, 0.0, 'closing forearm', 1447936664.019, -0.0006031589455075537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3721438248304554, 0.0, 'forearm stopped', 1447936664.219, -0.00154549800598347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3704847159933786, 0.0, 'opening forearm', 1447936664.418, -0.0016591088370767615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3702482552878383, 0.0, 'forearm stopped', 1447936664.619, -0.00023646070554028675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3561144424898703, 0.0, 'arm moving up', 1447936674.917, 1.3561144424898703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3475924171262015, 0.0, 'closing forearm', 1447936675.12, -0.008522025363668861, 0.0, 'arm moving up', 1447936674.917, 1.3561144424898703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3475924171262015, 0.0, 'hand above elbow', 1447936675.12, 0.0, 0.0, 'closing forearm', 1447936675.12, -0.008522025363668861, 0.0, 'arm moving up', 1447936674.917, 1.3561144424898703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3475924171262015, 0.0, 'forearm stopped', 1447936675.219, 0.0, 0.0, 'hand above elbow', 1447936675.12, 0.0, 0.0, 'closing forearm', 1447936675.12, -0.008522025363668861, 0.0, 'arm moving up', 1447936674.917, 1.3561144424898703, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3434450786052636, 0.0, 'arm stopped', 1447936675.32, -0.004147338520937849, 0.0, 'forearm stopped', 1447936675.219, 0.0, 0.0, 'hand above elbow', 1447936675.12, 0.0, 0.0, 'closing forearm', 1447936675.12, -0.008522025363668861, 0.0, 'arm moving up', 1447936674.917, 1.3561144424898703, 0.0]
[1.3434450786052636, 0.0, 'closing forearm', 1447936675.32, 0.0, 0.0, 'arm stopped', 1447936675.32, -0.004147338520937849, 0.0, 'forearm stopped', 1447936675.219, 0.0, 0.0, 'hand above elbow', 1447936675.12, 0.0, 0.0, 'closing forearm', 1447936675.12, -0.008522025363668861, 0.0]
[1.3294145213909045, 0.0, 'forearm stopped', 1447936675.519, -0.014030557214359085, 0.0, 'closing forearm', 1447936675.32, 0.0, 0.0, 'arm stopped', 1447936675.32, -0.004147338520937849, 0.0, 'forearm stopped', 1447936675.219, 0.0, 0.0, 'hand above elbow', 1447936675.12, 0.0, 0.0]
[1.3248315036555411, 0.0, 'waving', 1447936675.718, -0.004583017735363404, 0.0, 'forearm stopped', 1447936675.519, -0.014030557214359085, 0.0, 'closing forearm', 1447936675.32, 0.0, 0.0, 'arm stopped', 1447936675.32, -0.004147338520937849, 0.0, 'forearm stopped', 1447936675.219, 0.0, 0.0]
[1.3248315036555411, 0.0, 'opening forearm', 1447936675.718, 0.0, 0.0, 'waving', 1447936675.718, -0.004583017735363404, 0.0, 'forearm stopped', 1447936675.519, -0.014030557214359085, 0.0, 'closing forearm', 1447936675.32, 0.0, 0.0, 'arm stopped', 1447936675.32, -0.004147338520937849, 0.0]
[1.3204353329909009, 0.0, 'forearm stopped', 1447936675.818, -0.004396170664640264, 0.0, 'opening forearm', 1447936675.718, 0.0, 0.0, 'waving', 1447936675.718, -0.004583017735363404, 0.0, 'forearm stopped', 1447936675.519, -0.014030557214359085, 0.0, 'closing forearm', 1447936675.32, 0.0, 0.0]
