[4.016640213022896, 0.0, 'elbow in front of body', 1449591249.252, 4.016640213022896, 0.0, 0.0, 1449591249.252, 0.0, 0.0, 0.0, -1449591249.252, 0.0, 0.0, 0.0, -1449591249.252, 0.0, 0.0, 0.0, -1449591249.252, 0.0, 0.0],1
[4.0490705721768405, 0.0, 'elbow behind body', 1449591249.85, 0.032430359153944543, 0.0, 'elbow in front of body', 0.5979998111724854, 4.016640213022896, 0.0, 0.0, 1449591248.6540003, 0.0, 0.0, 0.0, -1449591249.85, 0.0, 0.0, 0.0, -1449591249.85, 0.0, 0.0],1
[4.0490705721768405, 0.0, 'elbow in front of body', 1449591249.953, 0.032430359153944543, 0.0, 'elbow behind body', 0.10300016403198242, 0.032430359153944543, 0.0, 'elbow in front of body', 0.49499964714050293, 4.016640213022896, 0.0, 0.0, 1449591248.551, 0.0, 0.0, 0.0, -1449591249.953, 0.0, 0.0],1
[4.049448241505944, 0.0, 'elbow behind body', 1449591250.952, 0.0003776693291035471, 0.0, 'elbow in front of body', 0.998999834060669, 0.032430359153944543, 0.0, 'elbow behind body', -0.8959996700286865, 0.032430359153944543, 0.0, 'elbow in front of body', -0.504000186920166, 4.016640213022896, 0.0, 0.0, 1449591247.5520003, 0.0, 0.0],1
[4.04236014304086, 0.0, 'elbow in front of body', 1449591251.252, -0.007088098465083625, 0.0, 'elbow behind body', 0.3000001907348633, 0.0003776693291035471, 0.0, 'elbow in front of body', 0.6989996433258057, 0.032430359153944543, 0.0, 'elbow behind body', -1.1959998607635498, 0.032430359153944543, 0.0, 'elbow in front of body', -0.8040003776550293, 4.016640213022896, 0.0],1
[4.040571311414604, 0.0, 'elbow behind body', 1449591251.351, -0.0017888316262562043, 0.0, 'elbow in front of body', 0.0989999771118164, -0.007088098465083625, 0.0, 'elbow behind body', 0.20100021362304688, 0.0003776693291035471, 0.0, 'elbow in front of body', 0.5999996662139893, 0.032430359153944543, 0.0, 'elbow behind body', -1.2949998378753662, 0.032430359153944543, 0.0],1
[4.040181393996994, 0.0, 'elbow in front of body', 1449591251.451, -0.0003899174176105191, 0.0, 'elbow behind body', 0.09999990463256836, -0.0017888316262562043, 0.0, 'elbow in front of body', -0.0009999275207519531, -0.007088098465083625, 0.0, 'elbow behind body', 0.10100030899047852, 0.0003776693291035471, 0.0, 'elbow in front of body', 0.4999997615814209, 0.032430359153944543, 0.0],1
[4.037502045811102, 0.0, 'elbow behind body', 1449591251.65, -0.002679348185891328, 0.0, 'elbow in front of body', 0.19900012016296387, -0.0003899174176105191, 0.0, 'elbow behind body', -0.09900021553039551, -0.0017888316262562043, 0.0, 'elbow in front of body', -0.20000004768371582, -0.007088098465083625, 0.0, 'elbow behind body', -0.09799981117248535, 0.0003776693291035471, 0.0],1
[4.036624317350105, 0.0, 'elbow in front of body', 1449591251.75, -0.0008777284609973179, 0.0, 'elbow behind body', 0.09999990463256836, -0.002679348185891328, 0.0, 'elbow in front of body', 0.09900021553039551, -0.0003899174176105191, 0.0, 'elbow behind body', -0.19900012016296387, -0.0017888316262562043, 0.0, 'elbow in front of body', -0.2999999523162842, -0.007088098465083625, 0.0],1
[4.035553488581933, 0.0, 'opening forearm', 1449591254.251, -0.001070828768171772, 0.0, 'elbow in front of body', 2.500999927520752, -0.0008777284609973179, 0.0, 'elbow behind body', -2.4010000228881836, -0.002679348185891328, 0.0, 'elbow in front of body', -2.4019997119903564, -0.0003899174176105191, 0.0, 'elbow behind body', -2.700000047683716, -0.0017888316262562043, 0.0],1
[4.026457996366785, 0.0, 'hand under elbow', 1449591254.351, -0.009095492215148049, 0.0, 'opening forearm', 0.10000014305114746, -0.001070828768171772, 0.0, 'elbow in front of body', 2.4009997844696045, -0.0008777284609973179, 0.0, 'elbow behind body', -2.501000165939331, -0.002679348185891328, 0.0, 'elbow in front of body', -2.501999855041504, -0.0003899174176105191, 0.0],1
[4.026457996366785, 0.0, 'handing', 1449591254.351, -0.009095492215148049, 0.0, 'hand under elbow', 0.0, -0.009095492215148049, 0.0, 'opening forearm', 0.10000014305114746, -0.001070828768171772, 0.0, 'elbow in front of body', 2.4009997844696045, -0.0008777284609973179, 0.0, 'elbow behind body', -2.501000165939331, -0.002679348185891328, 0.0],1
[4.0260124710416045, 0.0, 'elbow behind body', 1449591254.449, -0.00044552532518071786, 0.0, 'handing', 0.09799981117248535, -0.009095492215148049, 0.0, 'hand under elbow', -0.09799981117248535, -0.009095492215148049, 0.0, 'opening forearm', 0.0020003318786621094, -0.001070828768171772, 0.0, 'elbow in front of body', 2.302999973297119, -0.0008777284609973179, 0.0],1
[4.0239355891306285, 0.0, 'forearm stopped', 1449591254.753, -0.0020768819109759917, 0.0, 'elbow behind body', 0.3040001392364502, -0.00044552532518071786, 0.0, 'handing', -0.20600032806396484, -0.009095492215148049, 0.0, 'hand under elbow', -0.40199995040893555, -0.009095492215148049, 0.0, 'opening forearm', -0.3019998073577881, -0.001070828768171772, 0.0],1
[4.025520818931138, 0.0, 'elbow in front of body', 1449591255.052, 0.0015852298005096799, 0.0, 'forearm stopped', 0.2990000247955322, -0.0020768819109759917, 0.0, 'elbow behind body', 0.005000114440917969, -0.00044552532518071786, 0.0, 'handing', -0.5050003528594971, -0.009095492215148049, 0.0, 'hand under elbow', -0.7009999752044678, -0.009095492215148049, 0.0],1
