[3.218033295991881, 0.0, 'elbow in front of body', 1448967447.562, 3.218033295991881, 0.0, 0.0, 1448967447.562, 0.0, 0.0, 0.0, -1448967447.562, 0.0, 0.0, 0.0, -1448967447.562, 0.0, 0.0, 0.0, -1448967447.562, 0.0, 0.0]
[3.2165149302805256, 0.0, 'handing', 1448967447.562, 3.2165149302805256, 0.0, 'elbow in front of body', 0.0, 3.218033295991881, 0.0, 0.0, 1448967447.562, 0.0, 0.0, 0.0, -1448967447.562, 0.0, 0.0, 0.0, -1448967447.562, 0.0, 0.0]
[3.1496380725296937, 0.0, 'elbow behind body', 1448967448.957, -0.06687685775083185, 0.0, 'handing', 1.3949999809265137, 3.2165149302805256, 0.0, 'elbow in front of body', -1.3949999809265137, 3.218033295991881, 0.0, 0.0, 1448967446.167, 0.0, 0.0, 0.0, -1448967448.957, 0.0, 0.0]
[3.0959981315119207, 0.0, 'walking forward', 1448967449.157, -0.05363994101777303, 0.0, 'elbow behind body', 0.20000004768371582, -0.06687685775083185, 0.0, 'handing', 1.1949999332427979, 3.2165149302805256, 0.0, 'elbow in front of body', -1.5950000286102295, 3.218033295991881, 0.0, 0.0, 1448967445.967, 0.0, 0.0]
[3.0367469943022023, 0.0, 'elbow in front of body', 1448967449.259, -0.05925113720971842, 0.0, 'walking forward', 0.10199999809265137, -0.05363994101777303, 0.0, 'elbow behind body', 0.09800004959106445, -0.06687685775083185, 0.0, 'handing', 1.0929999351501465, 3.2165149302805256, 0.0, 'elbow in front of body', -1.6970000267028809, 3.218033295991881, 0.0]
[3.0367469943022023, 0.0, 'handing', 1448967449.259, -0.05925113720971842, 0.0, 'elbow in front of body', 0.0, -0.05925113720971842, 0.0, 'walking forward', 0.10199999809265137, -0.05363994101777303, 0.0, 'elbow behind body', 0.09800004959106445, -0.06687685775083185, 0.0, 'handing', 1.0929999351501465, 3.2165149302805256, 0.0]
[2.7082584025575343, 0.0, 'elbow behind body', 1448967449.657, -0.32848859174466805, 0.0, 'handing', 0.39800000190734863, -0.05925113720971842, 0.0, 'elbow in front of body', -0.39800000190734863, -0.05925113720971842, 0.0, 'walking forward', -0.29600000381469727, -0.05363994101777303, 0.0, 'elbow behind body', -0.2999999523162842, -0.06687685775083185, 0.0]
[2.251238856882984, 0.0, 'elbow in front of body', 1448967450.358, -0.4570195456745503, 0.0, 'elbow behind body', 0.7009999752044678, -0.32848859174466805, 0.0, 'handing', -0.30299997329711914, -0.05925113720971842, 0.0, 'elbow in front of body', -1.0989999771118164, -0.05925113720971842, 0.0, 'walking forward', -0.996999979019165, -0.05363994101777303, 0.0]
[2.251238856882984, 0.0, 'handing', 1448967450.358, -0.4570195456745503, 0.0, 'elbow in front of body', 0.0, -0.4570195456745503, 0.0, 'elbow behind body', 0.7009999752044678, -0.32848859174466805, 0.0, 'handing', -0.30299997329711914, -0.05925113720971842, 0.0, 'elbow in front of body', -1.0989999771118164, -0.05925113720971842, 0.0]
[2.0489528873660063, 0.0, 'elbow behind body', 1448967450.855, -0.20228596951697764, 0.0, 'handing', 0.49699997901916504, -0.4570195456745503, 0.0, 'elbow in front of body', -0.49699997901916504, -0.4570195456745503, 0.0, 'elbow behind body', 0.20399999618530273, -0.32848859174466805, 0.0, 'handing', -0.7999999523162842, -0.05925113720971842, 0.0]
[1.9558755343040333, 0.0, 'elbow in front of body', 1448967450.955, -0.09307735306197307, 0.0, 'elbow behind body', 0.09999990463256836, -0.20228596951697764, 0.0, 'handing', 0.3970000743865967, -0.4570195456745503, 0.0, 'elbow in front of body', -0.5969998836517334, -0.4570195456745503, 0.0, 'elbow behind body', 0.10400009155273438, -0.32848859174466805, 0.0]
