[3.7602085162607506, 0.0, 'elbow behind body', 1449341331.102, 3.7602085162607506, 0.0, 0.0, 1449341331.102, 0.0, 0.0, 0.0, -1449341331.102, 0.0, 0.0, 0.0, -1449341331.102, 0.0, 0.0, 0.0, -1449341331.102, 0.0, 0.0],1
[3.7564787982851677, 0.0, 'elbow in front of body', 1449341331.395, -0.003729717975582858, 0.0, 'elbow behind body', 0.2929999828338623, 3.7602085162607506, 0.0, 0.0, 1449341330.809, 0.0, 0.0, 0.0, -1449341331.395, 0.0, 0.0, 0.0, -1449341331.395, 0.0, 0.0],1
[3.7564787982851677, 0.0, 'handing', 1449341331.395, -0.003729717975582858, 0.0, 'elbow in front of body', 0.0, -0.003729717975582858, 0.0, 'elbow behind body', 0.2929999828338623, 3.7602085162607506, 0.0, 0.0, 1449341330.809, 0.0, 0.0, 0.0, -1449341331.395, 0.0, 0.0],1
[3.736171773435374, 0.0, 'elbow behind body', 1449341331.902, -0.02030702484979363, 0.0, 'handing', 0.5069999694824219, -0.003729717975582858, 0.0, 'elbow in front of body', -0.5069999694824219, -0.003729717975582858, 0.0, 'elbow behind body', -0.21399998664855957, 3.7602085162607506, 0.0, 0.0, 1449341330.302, 0.0, 0.0],1
[3.7978208603747037, 0.0, 'elbow in front of body', 1449341332.393, 0.06164908693932958, 0.0, 'elbow behind body', 0.4909999370574951, -0.02030702484979363, 0.0, 'handing', 0.016000032424926758, -0.003729717975582858, 0.0, 'elbow in front of body', -0.997999906539917, -0.003729717975582858, 0.0, 'elbow behind body', -0.7049999237060547, 3.7602085162607506, 0.0],1
[3.7978208603747037, 0.0, 'handing', 1449341332.393, 0.06164908693932958, 0.0, 'elbow in front of body', 0.0, 0.06164908693932958, 0.0, 'elbow behind body', 0.4909999370574951, -0.02030702484979363, 0.0, 'handing', 0.016000032424926758, -0.003729717975582858, 0.0, 'elbow in front of body', -0.997999906539917, -0.003729717975582858, 0.0],1
[3.7961826602714424, 0.0, 'elbow behind body', 1449341333.299, -0.0016382001032613225, 0.0, 'handing', 0.9060001373291016, 0.06164908693932958, 0.0, 'elbow in front of body', -0.9060001373291016, 0.06164908693932958, 0.0, 'elbow behind body', -0.41500020027160645, -0.02030702484979363, 0.0, 'handing', -0.8900001049041748, -0.003729717975582858, 0.0],1
[3.764912796009249, 0.0, 'elbow in front of body', 1449341333.794, -0.03126986426219336, 0.0, 'elbow behind body', 0.49499988555908203, -0.0016382001032613225, 0.0, 'handing', 0.41100025177001953, 0.06164908693932958, 0.0, 'elbow in front of body', -1.4010000228881836, 0.06164908693932958, 0.0, 'elbow behind body', -0.9100000858306885, -0.02030702484979363, 0.0],1
[3.764912796009249, 0.0, 'handing', 1449341333.794, -0.03126986426219336, 0.0, 'elbow in front of body', 0.0, -0.03126986426219336, 0.0, 'elbow behind body', 0.49499988555908203, -0.0016382001032613225, 0.0, 'handing', 0.41100025177001953, 0.06164908693932958, 0.0, 'elbow in front of body', -1.4010000228881836, 0.06164908693932958, 0.0],1
[3.8162743418202902, 0.0, 'elbow behind body', 1449341335.593, 0.05136154581104124, 0.0, 'handing', 1.7990000247955322, -0.03126986426219336, 0.0, 'elbow in front of body', -1.7990000247955322, -0.03126986426219336, 0.0, 'elbow behind body', -1.3040001392364502, -0.0016382001032613225, 0.0, 'handing', -1.3879997730255127, 0.06164908693932958, 0.0],1
[3.773059670902019, 0.0, 'elbow in front of body', 1449341335.896, -0.043214670918271025, 0.0, 'elbow behind body', 0.30299997329711914, 0.05136154581104124, 0.0, 'handing', 1.496000051498413, -0.03126986426219336, 0.0, 'elbow in front of body', -2.1019999980926514, -0.03126986426219336, 0.0, 'elbow behind body', -1.6070001125335693, -0.0016382001032613225, 0.0],1
[3.773059670902019, 0.0, 'handing', 1449341335.896, -0.043214670918271025, 0.0, 'elbow in front of body', 0.0, -0.043214670918271025, 0.0, 'elbow behind body', 0.30299997329711914, 0.05136154581104124, 0.0, 'handing', 1.496000051498413, -0.03126986426219336, 0.0, 'elbow in front of body', -2.1019999980926514, -0.03126986426219336, 0.0],1
[4.045734279585708, 0.0, 'walking backward', 1449341338.793, 0.27267460868368865, 0.0, 'handing', 2.8970000743865967, -0.043214670918271025, 0.0, 'elbow in front of body', -2.8970000743865967, -0.043214670918271025, 0.0, 'elbow behind body', -2.5940001010894775, 0.05136154581104124, 0.0, 'handing', -1.4010000228881836, -0.03126986426219336, 0.0],1
[4.221543957623985, 0.0, 'no walking', 1449341339.299, 0.17580967803827718, 0.0, 'walking backward', 0.5060000419616699, 0.27267460868368865, 0.0, 'handing', 2.3910000324249268, -0.043214670918271025, 0.0, 'elbow in front of body', -3.4030001163482666, -0.043214670918271025, 0.0, 'elbow behind body', -3.1000001430511475, 0.05136154581104124, 0.0],1
[4.226073156780464, 0.0, 'arm moving up', 1449341340.094, 0.004529199156478647, 0.0, 'no walking', 0.7950000762939453, 0.17580967803827718, 0.0, 'walking backward', -0.2890000343322754, 0.27267460868368865, 0.0, 'handing', 1.5959999561309814, -0.043214670918271025, 0.0, 'elbow in front of body', -4.198000192642212, -0.043214670918271025, 0.0],1
[4.226073156780464, 0.0, 'arm stopped', 1449341340.193, 0.004529199156478647, 0.0, 'arm moving up', 0.0989999771118164, 0.004529199156478647, 0.0, 'no walking', 0.6960000991821289, 0.17580967803827718, 0.0, 'walking backward', -0.3880000114440918, 0.27267460868368865, 0.0, 'handing', 1.496999979019165, -0.043214670918271025, 0.0],1
