[3.338418684020457, 0.0, 'elbow behind body', 1449333921.069, 3.338418684020457, 0.0, 0.0, 1449333921.069, 0.0, 0.0, 0.0, -1449333921.069, 0.0, 0.0, 0.0, -1449333921.069, 0.0, 0.0, 0.0, -1449333921.069, 0.0, 0.0],1
[3.3462002283462273, 0.0, 'elbow in front of body', 1449333926.169, 0.007781544325770273, 0.0, 'elbow behind body', 5.099999904632568, 3.338418684020457, 0.0, 0.0, 1449333915.969, 0.0, 0.0, 0.0, -1449333926.169, 0.0, 0.0, 0.0, -1449333926.169, 0.0, 0.0],1
[3.3462002283462273, 0.0, 'handing', 1449333926.169, 0.007781544325770273, 0.0, 'elbow in front of body', 0.0, 0.007781544325770273, 0.0, 'elbow behind body', 5.099999904632568, 3.338418684020457, 0.0, 0.0, 1449333915.969, 0.0, 0.0, 0.0, -1449333926.169, 0.0, 0.0],1
[3.3487439249896416, 0.0, 'elbow behind body', 1449333933.375, 0.0025436966434142505, 0.0, 'handing', 7.206000089645386, 0.007781544325770273, 0.0, 'elbow in front of body', -7.206000089645386, 0.007781544325770273, 0.0, 'elbow behind body', -2.1060001850128174, 3.338418684020457, 0.0, 0.0, 1449333908.763, 0.0, 0.0],1
[3.3450085884181724, 0.0, 'elbow in front of body', 1449333933.876, -0.0037353365714691833, 0.0, 'elbow behind body', 0.500999927520752, 0.0025436966434142505, 0.0, 'handing', 6.705000162124634, 0.007781544325770273, 0.0, 'elbow in front of body', -7.707000017166138, 0.007781544325770273, 0.0, 'elbow behind body', -2.6070001125335693, 3.338418684020457, 0.0],1
[3.3450085884181724, 0.0, 'handing', 1449333933.877, -0.0037353365714691833, 0.0, 'elbow in front of body', 0.0010001659393310547, -0.0037353365714691833, 0.0, 'elbow behind body', 0.4999997615814209, 0.0025436966434142505, 0.0, 'handing', 6.703999996185303, 0.007781544325770273, 0.0, 'elbow in front of body', -7.708000183105469, 0.007781544325770273, 0.0],1
[3.3488390470211966, 0.0, 'elbow behind body', 1449333935.976, 0.0038304586030242227, 0.0, 'handing', 2.0989999771118164, -0.0037353365714691833, 0.0, 'elbow in front of body', -2.0979998111724854, -0.0037353365714691833, 0.0, 'elbow behind body', -1.5990002155303955, 0.0025436966434142505, 0.0, 'handing', 4.605000019073486, 0.007781544325770273, 0.0],1
[3.3488390470211966, 0.0, 'elbow in front of body', 1449333936.073, 0.0038304586030242227, 0.0, 'elbow behind body', 0.0969998836517334, 0.0038304586030242227, 0.0, 'handing', 2.002000093460083, -0.0037353365714691833, 0.0, 'elbow in front of body', -2.1949996948242188, -0.0037353365714691833, 0.0, 'elbow behind body', -1.696000099182129, 0.0025436966434142505, 0.0],1
[3.3488390470211966, 0.0, 'handing', 1449333936.073, 0.0038304586030242227, 0.0, 'elbow in front of body', 0.0, 0.0038304586030242227, 0.0, 'elbow behind body', 0.0969998836517334, 0.0038304586030242227, 0.0, 'handing', 2.002000093460083, -0.0037353365714691833, 0.0, 'elbow in front of body', -2.1949996948242188, -0.0037353365714691833, 0.0],1
[3.3478593616690557, 0.0, 'elbow behind body', 1449333936.274, -0.00097968535214088, 0.0, 'handing', 0.20099997520446777, 0.0038304586030242227, 0.0, 'elbow in front of body', -0.20099997520446777, 0.0038304586030242227, 0.0, 'elbow behind body', -0.10400009155273438, 0.0038304586030242227, 0.0, 'handing', 1.8010001182556152, -0.0037353365714691833, 0.0],1
[3.350190101205289, 0.0, 'elbow in front of body', 1449333936.475, 0.002330739536233306, 0.0, 'elbow behind body', 0.20099997520446777, -0.00097968535214088, 0.0, 'handing', 0.0, 0.0038304586030242227, 0.0, 'elbow in front of body', -0.40199995040893555, 0.0038304586030242227, 0.0, 'elbow behind body', -0.30500006675720215, 0.0038304586030242227, 0.0],1
[3.350190101205289, 0.0, 'handing', 1449333936.475, 0.002330739536233306, 0.0, 'elbow in front of body', 0.0, 0.002330739536233306, 0.0, 'elbow behind body', 0.20099997520446777, -0.00097968535214088, 0.0, 'handing', 0.0, 0.0038304586030242227, 0.0, 'elbow in front of body', -0.40199995040893555, 0.0038304586030242227, 0.0],1
[3.3642373948976374, 0.0, 'elbow behind body', 1449333938.476, 0.014047293692348362, 0.0, 'handing', 2.001000165939331, 0.002330739536233306, 0.0, 'elbow in front of body', -2.001000165939331, 0.002330739536233306, 0.0, 'elbow behind body', -1.8000001907348633, -0.00097968535214088, 0.0, 'handing', -2.001000165939331, 0.0038304586030242227, 0.0],1
[3.371636839169509, 0.0, 'elbow in front of body', 1449333938.57, 0.007399444271871669, 0.0, 'elbow behind body', 0.09399986267089844, 0.014047293692348362, 0.0, 'handing', 1.9070003032684326, 0.002330739536233306, 0.0, 'elbow in front of body', -2.0950000286102295, 0.002330739536233306, 0.0, 'elbow behind body', -1.8940000534057617, -0.00097968535214088, 0.0],1
[3.371636839169509, 0.0, 'handing', 1449333938.57, 0.007399444271871669, 0.0, 'elbow in front of body', 0.0, 0.007399444271871669, 0.0, 'elbow behind body', 0.09399986267089844, 0.014047293692348362, 0.0, 'handing', 1.9070003032684326, 0.002330739536233306, 0.0, 'elbow in front of body', -2.0950000286102295, 0.002330739536233306, 0.0],1
[3.4671446464879523, 0.0, 'arm moving down', 1449333940.575, 0.09550780731844322, 0.0, 'handing', 2.005000114440918, 0.007399444271871669, 0.0, 'elbow in front of body', -2.005000114440918, 0.007399444271871669, 0.0, 'elbow behind body', -1.9110002517700195, 0.014047293692348362, 0.0, 'handing', -0.09799981117248535, 0.002330739536233306, 0.0],1
