dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.5673,0,1,0,-0.65705,0,4,0.804,-0.15835,0,10,-0.705,4.3827,0,2,-0.805,4.3827,0,0,0,0,0,5
3.5003,0,5,0,-0.067026,0,1,0.199,-0.65705,0,4,0.605,-0.15835,0,10,-0.904,4.3827,0,2,-1.004,4.3827,0,5
2.9224,0,8,0,-0.57787,0,5,0.6,-0.067026,0,1,-0.401,-0.65705,0,4,0.0049999,-0.15835,0,10,-1.504,4.3827,0,5
2.8438,0,5,0,-0.078645,0,8,0.097,-0.57787,0,5,0.503,-0.067026,0,1,-0.498,-0.65705,0,4,-0.092,-0.15835,0,5
3.8397,0,8,0,3.8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3.8408,0,5,0,0.0011726,0,8,0.098,3.8397,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3.8424,0,1,0,0.0015466,0,5,0.199,0.0011726,0,8,-0.101,3.8397,0,0,0,0,0,0,0,0,0,5
3.8442,0,5,0,0.0018463,0,1,0.098,0.0015466,0,5,0.101,0.0011726,0,8,-0.199,3.8397,0,0,0,0,0,5
3.8493,0,1,0,0.0050624,0,5,0.406,0.0018463,0,1,-0.308,0.0015466,0,5,-0.305,0.0011726,0,8,-0.605,3.8397,0,5
3.8531,0,5,0,0.0038316,0,1,0.096,0.0050624,0,5,0.31,0.0018463,0,1,-0.404,0.0015466,0,5,-0.401,0.0011726,0,5
3.8584,0,8,0,0.0052536,0,5,1.199,0.0038316,0,1,-1.103,0.0050624,0,5,-0.889,0.0018463,0,1,-1.603,0.0015466,0,5
3.8577,0,5,0,-0.00067947,0,8,0.097,0.0052536,0,5,1.102,0.0038316,0,1,-1.2,0.0050624,0,5,-0.986,0.0018463,0,5
3.8574,0,1,0,-0.00025502,0,5,0.703,-0.00067947,0,8,-0.606,0.0052536,0,5,0.399,0.0038316,0,1,-1.903,0.0050624,0,5
3.8563,0,5,0,-0.0011627,0,1,0.097,-0.00025502,0,5,0.606,-0.00067947,0,8,-0.703,0.0052536,0,5,0.302,0.0038316,0,5
