dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.671,0,5,0,0.0021577,0,1,0.098,0.0021577,0,5,0.104,0.0068658,0,8,-0.204,0.0026015,0,5,-0.193,0.00052115,0,5
1.8882,0,8,0,-0.097301,0,1,0.1,-0.046503,0,4,-0.099,-0.046503,0,10,-0.0030003,-0.046503,0,5,-0.1,-0.053956,0,3
3.485,0,2,0,-0.61262,0,10,0.704,-0.13288,0,12,-0.501,4.2305,0,10,-0.811,4.2305,0,0,0,0,0,5
2.4669,0,1,0,0.17693,0,3,0,0.17693,0,5,0.301,0.12125,0,4,-0.3,0.12125,0,9,-0.302,0.12125,0,1
2.2104,0,1,0,-0.25258,0,4,0.5,-0.17311,0,5,-0.297,-0.022429,0,10,-0.703,-0.022429,0,8,-0.604,-0.042369,0,3
3.94,0,4,0,-0.0080783,0,13,0.0010002,-0.0080783,0,5,0.095,-0.0030078,0,3,-0.097,-0.0030078,0,4,0.007,-0.0078426,0,5
2.0801,0,1,0,-0.01086,0,3,0,-0.01086,0,4,0.2,-0.0047065,0,3,-0.1,-0.0047065,0,4,-0.2,-0.00032991,0,2
1.9125,0,8,0,-0.0012485,0,11,0.101,-0.0026375,0,5,0.099,-0.0073636,0,1,-0.099,-0.001222,0,4,-0.503,-0.001222,0,2
1.3871,0,14,0,0.00025112,0,16,0,0.00025112,0,15,0.198,-0.095875,0,12,5.808,-2.7007,0,10,-2.905,4.1834,0,5
4.1388,0,4,0,-0.34214,0,2,0.098,-0.013823,0,10,-0.097,-0.013823,0,12,0.203,-0.0065915,0,9,-0.299,0.079396,0,5
4.0873,0,5,0,0.0063378,0,8,0.1,0.0020068,0,5,0.2,0.0082023,0,1,-0.3,-0.0035757,0,5,-0.2,-0.0041692,0,5
1.6685,0,8,0,0.1109,0,3,0.00099993,0.1109,0,5,0.201,0.049411,0,1,-0.101,0.10201,0,5,-0.208,0.10201,0,7
1.4846,0,1,0,-0.019179,0,3,0.099,-0.033723,0,5,0.0040002,-0.042256,0,4,-0.202,-0.042256,0,1,-0.101,-0.042256,0,4
