dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.8319,0,2,0,0.042715,0,5,0.501,-0.030067,0,1,-0.401,-0.030067,0,8,-0.505,-0.0026732,0,4,-0.695,-0.0026732,0,1
2.0593,0,16,0,0.039322,0,5,0.4,0.01979,0,15,-0.299,0.07586,0,8,-0.501,0.07586,0,12,-0.501,0.07586,0,1
1.7192,0,4,0,-0.042958,0,1,0.099,-0.056566,0,6,2.3842e-07,-0.0497,0,5,-0.097,-0.039062,0,1,-0.2,-0.52477,0,4
4.1477,0,5,0,0.0084751,0,4,0,0.0084751,0,6,0.099,0.0016319,0,3,0.0010002,0.0016319,0,1,-0.0030003,-0.026851,0,1
1.7847,0,10,0,-0.078015,0,1,0.104,-0.05008,0,5,0.197,-0.036496,0,4,-0.405,-0.036496,0,1,-0.306,-0.015993,0,4
3.9619,0,3,0,0.20617,0,12,0,0.20617,0,14,0.497,0.48173,0,16,-0.496,0.48173,0,4,0.307,0.068494,0,5
3.7044,0,2,0,0.0098132,0,5,0.202,0.0001469,0,8,-0.103,-0.0091389,0,4,-0.301,-0.0091389,0,1,-0.2,0.0011622,0,2
1.6557,0,15,0,0.38228,0,9,0.7,0.059588,0,5,-0.603,0.059588,0,4,-0.797,0.059588,0,2,-0.694,0.0024398,0,1
4.3649,0,2,0,0.26648,0,9,0.197,0.027726,0,4,0.0049999,0.013154,0,12,-0.398,0.013154,0,3,-0.304,0.16361,0,1
1.825,0,9,0,0.073719,0,4,0.199,0.079963,0,2,0.0019999,0.017985,0,14,-0.202,-0.020491,0,12,0.106,-0.10307,0,1
1.4527,0,9,0,0.10231,0,12,0.196,-0.0021962,0,4,0.0070002,-0.46569,0,14,-0.3,-0.46569,0,16,-0.498,-0.46569,0,7
1.7874,0,12,0,0.20994,0,9,0.5,0.0716,0,4,-0.201,0.036571,0,2,-0.6,-0.035669,0,12,-0.495,-0.18555,0,1
3.7827,0,8,0,0.00032508,0,5,0.1,0.00053813,0,1,0.0019999,0.003122,0,5,-0.104,0.003122,0,8,-0.201,-0.00095432,0,2
2.8356,0,1,0,-0.32754,0,15,0.301,-0.42186,0,10,0.5,-0.11015,0,12,-0.804,0,0,9,-1.297,0.054625,0,5
1.8426,0,4,0,0.013147,0,2,0.1,0.042719,0,12,0.097,0.14252,0,9,0.208,0.1102,0,14,-0.601,-0.12707,0,1
3.6845,0,16,0,0.28182,0,5,0.505,0.10317,0,4,-0.505,0.10317,0,8,-0.408,0.079922,0,2,-0.602,0.079922,0,1
3.8439,0,5,0,-0.0035572,0,1,0.204,-0.016066,0,5,0.296,-0.0060407,0,8,-0.604,-0.0027048,0,5,-0.704,-0.002244,0,2
3.9443,0,12,0,0.046314,0,9,0.092,0.013067,0,12,0.013,0.054383,0,9,-0.095,0.081448,0,5,0.205,0.00044837,0,1
1.253,0,9,0,0.053576,0,5,0.303,0,0,4,-0.303,0,0,12,-0.303,0,0,8,-0.203,-0.08894,0,7
1.6971,0,15,0,0.016867,0,16,0.198,0.0076841,0,15,0.299,-0.0086413,0,5,-0.591,-0.035204,0,12,-0.697,-0.025915,0,1
1.4106,0,5,0,-0.002986,0,8,0.1,-0.062353,0,15,0.0010002,-0.12265,0,1,-0.201,-0.12265,0,5,-0.106,-0.11675,0,7
1.2304,0,4,0,-0.011029,0,15,0.1,-0.0036889,0,14,-0.0029998,-0.002878,0,8,-0.197,-0.002878,0,3,-0.197,-0.002878,0,6
4.2768,0,5,0,-0.011128,0,8,0.204,0.0019071,0,4,-0.204,0.0019071,0,11,-0.204,0.0019071,0,6,-0.106,0.0042115,0,2
4.0763,0,8,0,0.021596,0,3,0.0010002,0.021596,0,12,-0.0010002,0.021596,0,14,0.097,0.046972,0,16,-0.099,0.046972,0,1
1.5932,0,8,0,-0.036051,0,1,0.099,-0.011219,0,2,-0.099,-0.011219,0,12,-0.098,-0.011219,0,8,2.3842e-07,-0.026311,0,4
1.2162,0,9,0,0.095108,0,8,0.1,0.095108,0,5,-2.3842e-07,0,0,4,-0.2,0,0,14,-0.096,-0.008694,0,7
1.1994,0,4,0,0,0,12,0,0,0,8,0.1,-0.08894,0,14,0.0010002,-1.6939,0,16,-0.201,-1.6939,0,7
4.0815,0,6,0,0.024885,0,1,0,0.024885,0,4,0,0.024885,0,3,0.097,0.024885,0,5,0.206,0.0064209,0,5
1.285,0,12,0,-0.32233,0,10,0.702,-0.10157,0,12,-0.202,-0.08818,0,10,-0.9,-0.14057,0,4,-0.805,-0.015015,0,6
3.8325,0,8,0,0.0035118,0,4,0,0.0035118,0,2,0.099,-0.0049311,0,1,0.0020001,0.0017941,0,4,-0.2,0.0017941,0,2
1.5424,0,12,0,-0.018847,0,16,0.098,-0.022773,0,15,0.0020003,-0.16595,0,10,0.104,-0.062092,0,4,-0.3,-0.045839,0,6
1.9372,0,15,0,-0.064328,0,14,1.402,0.057063,0,16,-1.402,0.057063,0,12,-1.001,0.3721,0,9,-1.204,0.11071,0,1
3.8745,0,14,0,0.057142,0,16,0,0.057142,0,3,0,0.057142,0,12,0.201,0.13803,0,5,0.097,0.084946,0,1
2.9173,0,14,0,-0.15214,0,16,0,-0.15214,0,4,0.1,-0.10123,0,2,-0.0010002,-0.19461,0,15,0.0049999,-0.090198,0,5
3.7587,0,8,0,0.062386,0,2,0,0.062386,0,3,0.099,0.06748,0,5,0.103,0.080166,0,4,-0.3,0.080166,0,5
1.584,0,8,0,0.088678,0,15,0.2,-0.00091076,0,2,-0.199,-0.00091076,0,16,0.293,-0.02086,0,5,-0.695,-0.02086,0,1
1.7164,0,4,0,-0.025915,0,16,0.101,-0.075309,0,7,-0.00099969,-0.063154,0,8,-0.201,-0.063154,0,6,-0.0010002,-0.2251,0,6
3.7755,0,5,0,-0.0047525,0,4,0.0010002,-0.0047525,0,8,0.097,-0.00059752,0,6,0.00099969,-0.00059752,0,1,-0.199,-0.00059752,0,2
3.7124,0,5,0,0.12083,0,15,0.097,0.11,0,1,-0.097,0.11,0,14,0.0030003,0.11,0,16,-0.197,0.11,0,1
2.9776,0,14,0,0.27542,0,16,0.0010002,0.27542,0,15,0.4,0.22079,0,5,-0.1,0.11704,0,1,-0.606,0.32938,0,7
1.7672,0,12,0,-0.049336,0,16,0.1,-0.10347,0,8,-0.0039999,-0.10347,0,3,0.0060003,-0.22563,0,15,-0.203,-0.11776,0,6
3.8964,0,8,0,-0.00044206,0,5,0.198,0.0057381,0,4,-0.198,0.0057381,0,16,-0.097,0.0087706,0,8,-0.299,0.0087706,0,2
3.6867,0,5,0,-0.0015319,0,8,0.094,-0.012047,0,5,0.211,-0.011296,0,1,-0.304,-0.02795,0,5,-0.29,-0.012236,0,2
3.6884,0,16,0,0.0019635,0,5,0,0.0019635,0,15,0.101,-0.00010796,0,1,-0.1,-0.00010796,0,16,-0.00099993,-0.00016053,0,2
2.6767,0,14,0,-0.48487,0,16,0,-0.48487,0,5,0.801,-0.06381,0,4,-0.8,-0.06381,0,1,-0.702,-0.21912,0,5
1.5523,0,16,0,0,0,15,0.205,-0.010982,0,5,-0.106,-0.013644,0,4,-0.304,-0.013644,0,14,-0.208,-0.016295,0,4
1.9467,0,4,0,-0.1674,0,2,0.198,-0.12926,0,4,-0.101,-0.18687,0,8,-0.196,-0.059852,0,5,-0.196,-0.11256,0,7
1.3642,0,16,0,-0.13594,0,5,0.197,-0.07358,0,15,-0.095,-0.069158,0,8,-0.207,-0.89104,0,14,0.613,-0.14281,0,7
2.9776,0,16,0,0.27542,0,15,0.401,0.22079,0,5,-0.099,0.11704,0,1,-0.605,0.32938,0,14,-0.403,0.66328,0,7
1.4088,0,1,0,0.022456,0,5,0.199,0.0018466,0,4,-0.199,0.0018466,0,2,-0.098,-0.015898,0,7,-0.2,-0.0032099,0,4
1.7297,0,12,0,-0.066142,0,8,0.2,-0.060309,0,4,-0.2,-0.060309,0,2,-0.101,-0.13226,0,15,0.0020003,-0.071568,0,4
1.8795,0,6,0,-0.024606,0,8,0,-0.024606,0,3,0.00099993,-0.024606,0,5,0.097,-0.024606,0,1,0.0039999,-0.015252,0,6
3.7819,0,1,0,0.003122,0,5,0.098,0.003122,0,8,0.00099993,-0.00095432,0,5,-0.096,-0.0038406,0,1,-0.199,-0.0038406,0,2
3.8131,0,2,0,0.043575,0,8,0.203,-0.014984,0,1,-0.105,-0.014984,0,4,-0.101,-0.0011708,0,5,-0.405,-0.03074,0,1
1.7116,0,8,0,-0.0071196,0,4,0.397,-0.039696,0,5,-0.296,-0.039696,0,7,-0.296,-0.011011,0,8,-0.699,-0.011011,0,1
1.5562,0,4,0,0.10347,0,3,0.101,0.10347,0,9,0.199,0.10231,0,12,-0.205,-0.0021962,0,4,-0.394,-0.46569,0,7
1.8129,0,4,0,0.079806,0,15,0.301,0.019358,0,16,-0.203,0.016638,0,2,-0.399,0.016638,0,15,-0.3,0.016867,0,1
1.5327,0,2,0,-0.0096539,0,13,0,-0.0096539,0,12,0.302,-0.018847,0,16,-0.204,-0.022773,0,15,-0.3,-0.16595,0,6
1.5851,0,1,0,-0.012779,0,4,0.00099993,-0.012779,0,15,0.095,-0.089092,0,10,-0.097,-0.089092,0,14,0.0050001,-0.051808,0,7
2.0651,0,14,0,0.030388,0,16,0,0.020083,0,1,0.00099993,0.020083,0,2,-0.00099993,0.020083,0,15,0.297,0.036479,0,7
4.2818,0,3,0,0.044728,0,1,0.096,0.044728,0,4,-0.096,0.044728,0,3,0.0059998,0.040039,0,5,-0.099,0.015755,0,2
3.8959,0,6,0,-0.037981,0,5,0,-0.037981,0,8,0.099,-0.020214,0,3,2.3842e-07,-0.020214,0,12,-0.097,-0.061539,0,2
1.4246,0,6,0,-0.074582,0,3,0,-0.074582,0,15,0.094,-0.049919,0,10,0.0050001,-0.1425,0,12,0.515,-0.06761,0,6
2.3626,0,4,0,0.15785,0,1,0.104,0.38248,0,2,-0.104,0.38248,0,14,-0.006,0.38248,0,16,-0.202,0.38248,0,7
3.8783,0,4,0,0.011832,0,2,0.098,3.8664,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.4451,0,2,0,-0.15156,0,15,0.102,-0.15156,0,7,-0.102,-0.15156,0,8,-0.102,-0.15156,0,1,-0.0039999,-0.050597,0,4
3.9302,0,4,0,-0.031739,0,1,0.195,-0.0040512,0,3,-0.195,-0.0040512,0,5,0.0069997,0.0011633,0,4,-0.396,0.0011633,0,2
1.2215,0,9,0,0.14394,0,14,0.3,-0.0011362,0,16,-0.299,-0.0011362,0,5,-0.301,-0.0011362,0,12,-0.199,-0.048653,0,7
1.2162,0,5,0,0.095108,0,9,0,0.095108,0,8,0.1,0.095108,0,5,-2.3842e-07,0,0,4,-0.2,0,0,7
3.6946,0,8,0,-0.0007663,0,1,0.1,-0.0031502,0,5,-0.0049999,-0.0074157,0,4,-0.194,-0.0074157,0,1,-0.092,-0.0074157,0,2
1.4076,0,5,0,-0.037511,0,4,0.00099993,-0.037511,0,2,0.098,-0.15156,0,15,0.0020001,-0.15156,0,7,-0.202,-0.15156,0,4
1.6808,0,5,0,-0.020311,0,7,0.101,-0.017376,0,8,-0.101,-0.017376,0,4,-0.101,-0.017376,0,5,0.099,-0.044891,0,4
1.9289,0,4,0,0.034772,0,9,0,0.034772,0,2,0.199,0.11371,0,14,0.097,0.010309,0,16,-0.495,0.010309,0,6
1.9194,0,3,0,-0.0051816,0,1,0.102,0.081919,0,4,1.695,0.013147,0,2,-1.799,0.042719,0,12,-1.802,0.14252,0,6
3.9531,0,1,0,-0.0054423,0,5,0.196,-0.010265,0,8,-0.094,-0.0035077,0,5,-0.094,0.0018902,0,16,-0.406,0.0006041,0,2
1.7376,0,5,0,0.010875,0,1,0.096,0.010875,0,5,0.105,-0.00016135,0,4,-0.297,-0.00016135,0,7,-0.092,-0.0047977,0,4
1.7621,0,1,0,-0.056566,0,6,0.099,-0.0497,0,5,0.0019996,-0.039062,0,1,-0.101,-0.52477,0,3,-0.298,-0.52477,0,4
1.9564,0,1,0,-0.15131,0,10,0.3,-0.074963,0,5,0.599,0.028827,0,12,-1.199,0.028827,0,8,-1.098,0.077238,0,6
1.7096,0,14,0,0.047611,0,16,0.0010002,0.047611,0,15,0.099,0.047611,0,14,-0.0080001,0.22199,0,16,-0.194,0.22199,0,6
1.631,0,9,0,0.021595,0,4,0.205,0.0025078,0,14,-0.108,-0.16171,0,16,-0.302,-0.16171,0,3,-0.302,-0.16171,0,7
2.634,0,6,0,-0.067979,0,3,0.105,-0.085746,0,1,-0.007,-1.1841,0,10,1.493,0.027563,0,12,2.504,0.046314,0,5
3.5916,0,16,0,0.11,0,5,0.201,0.14329,0,1,-0.1,1.7794,0,8,-0.204,1.7794,0,9,1.7,0.13868,0,1
1.3492,0,4,0,0.029327,0,2,0.1,0.038088,0,15,0.099,-0.030895,0,5,-0.299,-0.030895,0,4,-0.299,-0.030895,0,7
3.8449,0,4,0,-4.5718e-05,0,5,0.103,0.0018682,0,2,-0.102,0.0018682,0,8,-0.0040002,0.020485,0,14,-0.106,0.020485,0,2
2.149,0,9,0,0.17407,0,15,0.506,0.0030649,0,14,-0.207,-0.042512,0,16,-0.805,-0.042512,0,15,-0.0070002,-0.003275,0,7
4.0169,0,16,0,0.090362,0,4,0.201,0.045206,0,12,-0.201,0.045206,0,2,-0.1,0.075259,0,5,-0.101,0.036604,0,1
1.8051,0,16,0,0.14946,0,15,0.202,0.38228,0,9,0.498,0.059588,0,5,-0.805,0.059588,0,4,-0.999,0.059588,0,1
3.9431,0,4,0,-0.00025123,0,7,0.098,-0.00025123,0,2,2.3842e-07,0.00048215,0,8,-0.094,0.00031919,0,5,-0.098,-0.0029842,0,1
2.0334,0,12,0,-1.8779,0,10,3.004,-0.14025,0,12,-2.805,-0.21472,0,10,-3.107,-0.21472,0,12,-1.996,0.052367,0,6
