[1.5539622325375777, 0.0, 'opening forearm', 1448980533.248, 1.5539622325375777, 0.0, 0.0, 1448980533.248, 0.0, 0.0, 0.0, -1448980533.248, 0.0, 0.0, 0.0, -1448980533.248, 0.0, 0.0, 0.0, -1448980533.248, 0.0, 0.0]
[1.5529368210668528, 0.0, 'forearm stopped', 1448980533.342, -0.0010254114707248796, 0.0, 'opening forearm', 0.09400010108947754, 1.5539622325375777, 0.0, 0.0, 1448980533.1539998, 0.0, 0.0, 0.0, -1448980533.342, 0.0, 0.0, 0.0, -1448980533.342, 0.0, 0.0]
[1.5547805873929073, 0.0, 'arm moving up', 1448980533.945, 0.0018437663260544301, 0.0, 'forearm stopped', 0.6029999256134033, -0.0010254114707248796, 0.0, 'opening forearm', -0.5089998245239258, 1.5539622325375777, 0.0, 0.0, 1448980532.5509999, 0.0, 0.0, 0.0, -1448980533.945, 0.0, 0.0]
[1.5551718837549873, 0.0, 'arm stopped', 1448980534.043, 0.00039129636208001806, 0.0, 'arm moving up', 0.09800004959106445, 0.0018437663260544301, 0.0, 'forearm stopped', 0.5049998760223389, -0.0010254114707248796, 0.0, 'opening forearm', -0.6069998741149902, 1.5539622325375777, 0.0, 0.0, 1448980532.4529998, 0.0, 0.0]
[1.5670516025290966, 0.0, 'waving', 1448980535.047, 0.011879718774109316, 0.0, 'arm stopped', 1.003999948501587, 0.00039129636208001806, 0.0, 'arm moving up', -0.9059998989105225, 0.0018437663260544301, 0.0, 'forearm stopped', -0.49900007247924805, -0.0010254114707248796, 0.0, 'opening forearm', -1.6109998226165771, 1.5539622325375777, 0.0]
[1.5692344619385084, 0.0, 'closing forearm', 1448980535.348, 0.0021828594094117637, 0.0, 'waving', 0.30100011825561523, 0.011879718774109316, 0.0, 'arm stopped', 0.7029998302459717, 0.00039129636208001806, 0.0, 'arm moving up', -1.2070000171661377, 0.0018437663260544301, 0.0, 'forearm stopped', -0.8000001907348633, -0.0010254114707248796, 0.0]
[1.5706485512627464, 0.0, 'forearm stopped', 1448980535.448, 0.0014140893242380326, 0.0, 'closing forearm', 0.09999990463256836, 0.0021828594094117637, 0.0, 'waving', 0.20100021362304688, 0.011879718774109316, 0.0, 'arm stopped', 0.6029999256134033, 0.00039129636208001806, 0.0, 'arm moving up', -1.306999921798706, 0.0018437663260544301, 0.0]
[1.5711325071630529, 0.0, 'opening forearm', 1448980535.646, 0.0004839559003064764, 0.0, 'forearm stopped', 0.1979999542236328, 0.0014140893242380326, 0.0, 'closing forearm', -0.09800004959106445, 0.0021828594094117637, 0.0, 'waving', 0.0030002593994140625, 0.011879718774109316, 0.0, 'arm stopped', 0.4049999713897705, 0.00039129636208001806, 0.0]
[1.5728944158710125, 0.0, 'forearm stopped', 1448980535.743, 0.0017619087079596696, 0.0, 'opening forearm', 0.0970001220703125, 0.0004839559003064764, 0.0, 'forearm stopped', 0.10099983215332031, 0.0014140893242380326, 0.0, 'closing forearm', -0.19500017166137695, 0.0021828594094117637, 0.0, 'waving', -0.09399986267089844, 0.011879718774109316, 0.0]
[1.5723049893133332, 0.0, 'closing forearm', 1448980536.243, -0.0005894265576793511, 0.0, 'forearm stopped', 0.5, 0.0017619087079596696, 0.0, 'opening forearm', -0.4029998779296875, 0.0004839559003064764, 0.0, 'forearm stopped', -0.3990001678466797, 0.0014140893242380326, 0.0, 'closing forearm', -0.695000171661377, 0.0021828594094117637, 0.0]
[1.5723049893133332, 0.0, 'forearm stopped', 1448980536.342, -0.0005894265576793511, 0.0, 'closing forearm', 0.0989999771118164, -0.0005894265576793511, 0.0, 'forearm stopped', 0.4010000228881836, 0.0017619087079596696, 0.0, 'opening forearm', -0.5019998550415039, 0.0004839559003064764, 0.0, 'forearm stopped', -0.4980001449584961, 0.0014140893242380326, 0.0]
[1.5693558319866305, 0.0, 'opening forearm', 1448980536.441, -0.002949157326702645, 0.0, 'forearm stopped', 0.0989999771118164, -0.0005894265576793511, 0.0, 'closing forearm', 0.0, -0.0005894265576793511, 0.0, 'forearm stopped', 0.3020000457763672, 0.0017619087079596696, 0.0, 'opening forearm', -0.6009998321533203, 0.0004839559003064764, 0.0]
[1.5680126997448092, 0.0, 'forearm stopped', 1448980536.542, -0.0013431322418213654, 0.0, 'opening forearm', 0.10100007057189941, -0.002949157326702645, 0.0, 'forearm stopped', -0.002000093460083008, -0.0005894265576793511, 0.0, 'closing forearm', -0.10100007057189941, -0.0005894265576793511, 0.0, 'forearm stopped', 0.20099997520446777, 0.0017619087079596696, 0.0]
[1.565803294421238, 0.0, 'closing forearm', 1448980536.646, -0.0022094053235712785, 0.0, 'forearm stopped', 0.10399985313415527, -0.0013431322418213654, 0.0, 'opening forearm', -0.0029997825622558594, -0.002949157326702645, 0.0, 'forearm stopped', -0.10599994659423828, -0.0005894265576793511, 0.0, 'closing forearm', -0.2049999237060547, -0.0005894265576793511, 0.0]
[1.565803294421238, 0.0, 'forearm stopped', 1448980536.742, -0.0022094053235712785, 0.0, 'closing forearm', 0.09600019454956055, -0.0022094053235712785, 0.0, 'forearm stopped', 0.007999658584594727, -0.0013431322418213654, 0.0, 'opening forearm', -0.0989999771118164, -0.002949157326702645, 0.0, 'forearm stopped', -0.20200014114379883, -0.0005894265576793511, 0.0]
