[3.6550295163786455, 0.0, 'closing forearm', 1448979177.843, 3.6550295163786455, 0.0, 0.0, 1448979177.843, 0.0, 0.0, 0.0, -1448979177.843, 0.0, 0.0, 0.0, -1448979177.843, 0.0, 0.0, 0.0, -1448979177.843, 0.0, 0.0]
[3.6571723513570795, 0.0, 'arm moving up', 1448979177.94, 0.0021428349784340384, 0.0, 'closing forearm', 0.0970001220703125, 3.6550295163786455, 0.0, 0.0, 1448979177.7459998, 0.0, 0.0, 0.0, -1448979177.94, 0.0, 0.0, 0.0, -1448979177.94, 0.0, 0.0]
[3.6571723513570795, 0.0, 'forearm stopped', 1448979177.94, 0.0021428349784340384, 0.0, 'arm moving up', 0.0, 0.0021428349784340384, 0.0, 'closing forearm', 0.0970001220703125, 3.6550295163786455, 0.0, 0.0, 1448979177.7459998, 0.0, 0.0, 0.0, -1448979177.94, 0.0, 0.0]
[3.658430393820912, 0.0, 'arm stopped', 1448979178.038, 0.0012580424638324317, 0.0, 'forearm stopped', 0.09800004959106445, 0.0021428349784340384, 0.0, 'arm moving up', -0.09800004959106445, 0.0021428349784340384, 0.0, 'closing forearm', -0.0009999275207519531, 3.6550295163786455, 0.0, 0.0, 1448979177.6479998, 0.0, 0.0]
[3.658430393820912, 0.0, 'hand above elbow', 1448979178.038, 0.0012580424638324317, 0.0, 'arm stopped', 0.0, 0.0012580424638324317, 0.0, 'forearm stopped', 0.09800004959106445, 0.0021428349784340384, 0.0, 'arm moving up', -0.09800004959106445, 0.0021428349784340384, 0.0, 'closing forearm', -0.0009999275207519531, 3.6550295163786455, 0.0]
[3.6588891932126977, 0.0, 'closing forearm', 1448979178.142, 0.0004587993917857247, 0.0, 'hand above elbow', 0.10399985313415527, 0.0012580424638324317, 0.0, 'arm stopped', -0.10399985313415527, 0.0012580424638324317, 0.0, 'forearm stopped', -0.00599980354309082, 0.0021428349784340384, 0.0, 'arm moving up', -0.20199990272521973, 0.0021428349784340384, 0.0]
[3.659410342345912, 0.0, 'forearm stopped', 1448979178.342, 0.000521149133214216, 0.0, 'closing forearm', 0.20000004768371582, 0.0004587993917857247, 0.0, 'hand above elbow', -0.09600019454956055, 0.0012580424638324317, 0.0, 'arm stopped', -0.3039999008178711, 0.0012580424638324317, 0.0, 'forearm stopped', -0.20599985122680664, 0.0021428349784340384, 0.0]
[3.6620118055125026, 0.0, 'opening forearm', 1448979178.545, 0.0026014631665907118, 0.0, 'forearm stopped', 0.20300006866455078, 0.000521149133214216, 0.0, 'closing forearm', -0.003000020980834961, 0.0004587993917857247, 0.0, 'hand above elbow', -0.29900026321411133, 0.0012580424638324317, 0.0, 'arm stopped', -0.5069999694824219, 0.0012580424638324317, 0.0]
[3.668877632006347, 0.0, 'forearm stopped', 1448979178.641, 0.006865826493844374, 0.0, 'opening forearm', 0.09599995613098145, 0.0026014631665907118, 0.0, 'forearm stopped', 0.10700011253356934, 0.000521149133214216, 0.0, 'closing forearm', -0.0989999771118164, 0.0004587993917857247, 0.0, 'hand above elbow', -0.3950002193450928, 0.0012580424638324317, 0.0]
[3.6710353225542485, 0.0, 'closing forearm', 1448979178.843, 0.002157690547901492, 0.0, 'forearm stopped', 0.20199990272521973, 0.006865826493844374, 0.0, 'opening forearm', -0.10599994659423828, 0.0026014631665907118, 0.0, 'forearm stopped', -0.09499979019165039, 0.000521149133214216, 0.0, 'closing forearm', -0.30099987983703613, 0.0004587993917857247, 0.0]
[3.6710353225542485, 0.0, 'forearm stopped', 1448979178.941, 0.002157690547901492, 0.0, 'closing forearm', 0.09800004959106445, 0.002157690547901492, 0.0, 'forearm stopped', 0.10399985313415527, 0.006865826493844374, 0.0, 'opening forearm', -0.20399999618530273, 0.0026014631665907118, 0.0, 'forearm stopped', -0.19299983978271484, 0.000521149133214216, 0.0]
[3.6674512814610987, 0.0, 'opening forearm', 1448979179.044, -0.0035840410931498035, 0.0, 'forearm stopped', 0.10299992561340332, 0.002157690547901492, 0.0, 'closing forearm', -0.004999876022338867, 0.002157690547901492, 0.0, 'forearm stopped', 0.0009999275207519531, 0.006865826493844374, 0.0, 'opening forearm', -0.30699992179870605, 0.0026014631665907118, 0.0]
