[1.9807401834842433, 0.0, 'arm stopped', 1448972031.205, 1.9807401834842433, 0.0, 0.0, 1448972031.205, 0.0, 0.0, 0.0, -1448972031.205, 0.0, 0.0, 0.0, -1448972031.205, 0.0, 0.0, 0.0, -1448972031.205, 0.0, 0.0]
[1.9807401834842433, 0.0, 'closing forearm', 1448972031.205, 1.9807401834842433, 0.0, 'arm stopped', 0.0, 1.9807401834842433, 0.0, 0.0, 1448972031.205, 0.0, 0.0, 0.0, -1448972031.205, 0.0, 0.0, 0.0, -1448972031.205, 0.0, 0.0]
[1.9774771354746368, 0.0, 'forearm stopped', 1448972031.405, -0.0032630480096065284, 0.0, 'closing forearm', 0.20000004768371582, 1.9807401834842433, 0.0, 'arm stopped', -0.20000004768371582, 1.9807401834842433, 0.0, 0.0, 1448972031.0049999, 0.0, 0.0, 0.0, -1448972031.405, 0.0, 0.0]
[1.9763084865714013, 0.0, 'waving', 1448972031.605, -0.0011686489032354253, 0.0, 'forearm stopped', 0.20000004768371582, -0.0032630480096065284, 0.0, 'closing forearm', 0.0, 1.9807401834842433, 0.0, 'arm stopped', -0.40000009536743164, 1.9807401834842433, 0.0, 0.0, 1448972030.8049998, 0.0, 0.0]
[1.9764559196338052, 0.0, 'opening forearm', 1448972031.705, 0.00014743306240383447, 0.0, 'waving', 0.09999990463256836, -0.0011686489032354253, 0.0, 'forearm stopped', 0.10000014305114746, -0.0032630480096065284, 0.0, 'closing forearm', -0.09999990463256836, 1.9807401834842433, 0.0, 'arm stopped', -0.5, 1.9807401834842433, 0.0]
[1.9765004831849509, 0.0, 'forearm stopped', 1448972031.805, 4.456355114568211e-05, 0.0, 'opening forearm', 0.10000014305114746, 0.00014743306240383447, 0.0, 'waving', -2.384185791015625e-07, -0.0011686489032354253, 0.0, 'forearm stopped', 0.0, -0.0032630480096065284, 0.0, 'closing forearm', -0.20000004768371582, 1.9807401834842433, 0.0]
[1.9765755891968488, 0.0, 'closing forearm', 1448972032.005, 7.510601189797406e-05, 0.0, 'forearm stopped', 0.20000004768371582, 4.456355114568211e-05, 0.0, 'opening forearm', -0.09999990463256836, 0.00014743306240383447, 0.0, 'waving', -0.20000028610229492, -0.0011686489032354253, 0.0, 'forearm stopped', -0.20000004768371582, -0.0032630480096065284, 0.0]
[1.9791810999203672, 0.0, 'forearm stopped', 1448972032.205, 0.002605510723518334, 0.0, 'closing forearm', 0.19999980926513672, 7.510601189797406e-05, 0.0, 'forearm stopped', 2.384185791015625e-07, 4.456355114568211e-05, 0.0, 'opening forearm', -0.2999997138977051, 0.00014743306240383447, 0.0, 'waving', -0.40000009536743164, -0.0011686489032354253, 0.0]
[1.9789693449923074, 0.0, 'opening forearm', 1448972032.405, -0.00021175492805980412, 0.0, 'forearm stopped', 0.20000004768371582, 0.002605510723518334, 0.0, 'closing forearm', -2.384185791015625e-07, 7.510601189797406e-05, 0.0, 'forearm stopped', -0.19999980926513672, 4.456355114568211e-05, 0.0, 'opening forearm', -0.4999997615814209, 0.00014743306240383447, 0.0]
[1.9774868445102536, 0.0, 'forearm stopped', 1448972032.605, -0.0014825004820537835, 0.0, 'opening forearm', 0.20000004768371582, -0.00021175492805980412, 0.0, 'forearm stopped', 0.0, 0.002605510723518334, 0.0, 'closing forearm', -0.20000028610229492, 7.510601189797406e-05, 0.0, 'forearm stopped', -0.39999985694885254, 4.456355114568211e-05, 0.0]
[1.974639846917785, 0.0, 'closing forearm', 1448972032.805, -0.0028469975924685365, 0.0, 'forearm stopped', 0.20000004768371582, -0.0014825004820537835, 0.0, 'opening forearm', 0.0, -0.00021175492805980412, 0.0, 'forearm stopped', -0.20000004768371582, 0.002605510723518334, 0.0, 'closing forearm', -0.40000033378601074, 7.510601189797406e-05, 0.0]
[1.9744332924350312, 0.0, 'forearm stopped', 1448972033.005, -0.00020655448275386235, 0.0, 'closing forearm', 0.20000004768371582, -0.0028469975924685365, 0.0, 'forearm stopped', 0.0, -0.0014825004820537835, 0.0, 'opening forearm', -0.20000004768371582, -0.00021175492805980412, 0.0, 'forearm stopped', -0.40000009536743164, 0.002605510723518334, 0.0]
[1.9742700412477105, 0.0, 'opening forearm', 1448972033.305, -0.00016325118732063437, 0.0, 'forearm stopped', 0.2999999523162842, -0.00020655448275386235, 0.0, 'closing forearm', -0.09999990463256836, -0.0028469975924685365, 0.0, 'forearm stopped', -0.2999999523162842, -0.0014825004820537835, 0.0, 'opening forearm', -0.5, -0.00021175492805980412, 0.0]
[1.9747998924550934, 0.0, 'forearm stopped', 1448972033.405, 0.0005298512073828032, 0.0, 'opening forearm', 0.09999990463256836, -0.00016325118732063437, 0.0, 'forearm stopped', 0.20000004768371582, -0.00020655448275386235, 0.0, 'closing forearm', -0.19999980926513672, -0.0028469975924685365, 0.0, 'forearm stopped', -0.39999985694885254, -0.0014825004820537835, 0.0]
