[3.073106231491459, 0.0, 'closing forearm', 1449151423.074, 3.073106231491459, 0.0, 0.0, 1449151423.074, 0.0, 0.0, 0.0, -1449151423.074, 0.0, 0.0, 0.0, -1449151423.074, 0.0, 0.0, 0.0, -1449151423.074, 0.0, 0.0]
[3.07143293842882, 0.0, 'forearm stopped', 1449151423.165, -0.0016732930626388587, 0.0, 'closing forearm', 0.09100008010864258, 3.073106231491459, 0.0, 0.0, 1449151422.9829998, 0.0, 0.0, 0.0, -1449151423.165, 0.0, 0.0, 0.0, -1449151423.165, 0.0, 0.0]
[3.0759527081444618, 0.0, 'arm moving up', 1449151423.374, 0.004519769715641608, 0.0, 'forearm stopped', 0.2090001106262207, -0.0016732930626388587, 0.0, 'closing forearm', -0.11800003051757812, 3.073106231491459, 0.0, 0.0, 1449151422.7739997, 0.0, 0.0, 0.0, -1449151423.374, 0.0, 0.0]
[3.0970344317472875, 0.0, 'arm stopped', 1449151423.578, 0.021081723602825786, 0.0, 'arm moving up', 0.20399999618530273, 0.004519769715641608, 0.0, 'forearm stopped', 0.005000114440917969, -0.0016732930626388587, 0.0, 'closing forearm', -0.32200002670288086, 3.073106231491459, 0.0, 0.0, 1449151422.5699997, 0.0, 0.0]
[3.0970344317472875, 0.0, 'closing forearm', 1449151423.578, 0.021081723602825786, 0.0, 'arm stopped', 0.0, 0.021081723602825786, 0.0, 'arm moving up', 0.20399999618530273, 0.004519769715641608, 0.0, 'forearm stopped', 0.005000114440917969, -0.0016732930626388587, 0.0, 'closing forearm', -0.32200002670288086, 3.073106231491459, 0.0]
[3.0936542080963054, 0.0, 'arm moving up', 1449151423.676, -0.003380223650982117, 0.0, 'closing forearm', 0.09800004959106445, 0.021081723602825786, 0.0, 'arm stopped', -0.09800004959106445, 0.021081723602825786, 0.0, 'arm moving up', 0.10599994659423828, 0.004519769715641608, 0.0, 'forearm stopped', -0.09299993515014648, -0.0016732930626388587, 0.0]
[3.0936542080963054, 0.0, 'opening forearm', 1449151423.677, -0.003380223650982117, 0.0, 'arm moving up', 0.0009999275207519531, -0.003380223650982117, 0.0, 'closing forearm', 0.0970001220703125, 0.021081723602825786, 0.0, 'arm stopped', -0.0989999771118164, 0.021081723602825786, 0.0, 'arm moving up', 0.10500001907348633, 0.004519769715641608, 0.0]
[3.0936542080963054, 0.0, 'arm stopped', 1449151423.772, -0.003380223650982117, 0.0, 'opening forearm', 0.09500002861022949, -0.003380223650982117, 0.0, 'arm moving up', -0.09400010108947754, -0.003380223650982117, 0.0, 'closing forearm', 0.002000093460083008, 0.021081723602825786, 0.0, 'arm stopped', -0.1940000057220459, 0.021081723602825786, 0.0]
[3.0936542080963054, 0.0, 'closing forearm', 1449151423.773, -0.003380223650982117, 0.0, 'arm stopped', 0.0009999275207519531, -0.003380223650982117, 0.0, 'opening forearm', 0.09400010108947754, -0.003380223650982117, 0.0, 'arm moving up', -0.09500002861022949, -0.003380223650982117, 0.0, 'closing forearm', 0.0010001659393310547, 0.021081723602825786, 0.0]
[3.0936542080963054, 0.0, 'hand above elbow', 1449151423.773, -0.003380223650982117, 0.0, 'closing forearm', 0.0, -0.003380223650982117, 0.0, 'arm stopped', 0.0009999275207519531, -0.003380223650982117, 0.0, 'opening forearm', 0.09400010108947754, -0.003380223650982117, 0.0, 'arm moving up', -0.09500002861022949, -0.003380223650982117, 0.0]
[3.078225001030757, 0.0, 'arm moving up', 1449151423.978, -0.0154292070655484, 0.0, 'hand above elbow', 0.2049999237060547, -0.003380223650982117, 0.0, 'closing forearm', -0.2049999237060547, -0.003380223650982117, 0.0, 'arm stopped', -0.20399999618530273, -0.003380223650982117, 0.0, 'opening forearm', -0.11099982261657715, -0.003380223650982117, 0.0]
[3.077845670605827, 0.0, 'arm stopped', 1449151424.075, -0.0003793304249302132, 0.0, 'arm moving up', 0.0970001220703125, -0.0154292070655484, 0.0, 'hand above elbow', 0.10799980163574219, -0.003380223650982117, 0.0, 'closing forearm', -0.3020000457763672, -0.003380223650982117, 0.0, 'arm stopped', -0.30100011825561523, -0.003380223650982117, 0.0]
[3.077431982519786, 0.0, 'forearm stopped', 1449151424.165, -0.0004136880860410308, 0.0, 'arm stopped', 0.08999991416931152, -0.0003793304249302132, 0.0, 'arm moving up', 0.0070002079010009766, -0.0154292070655484, 0.0, 'hand above elbow', 0.017999887466430664, -0.003380223650982117, 0.0, 'closing forearm', -0.3919999599456787, -0.003380223650982117, 0.0]
[3.0804360301740417, 0.0, 'opening forearm', 1449151424.372, 0.0030040476542558814, 0.0, 'forearm stopped', 0.2070000171661377, -0.0004136880860410308, 0.0, 'arm stopped', -0.11700010299682617, -0.0003793304249302132, 0.0, 'arm moving up', -0.19999980926513672, -0.0154292070655484, 0.0, 'hand above elbow', -0.18900012969970703, -0.003380223650982117, 0.0]
[3.0964661691102573, 0.0, 'forearm stopped', 1449151424.574, 0.016030138936215632, 0.0, 'opening forearm', 0.20199990272521973, 0.0030040476542558814, 0.0, 'forearm stopped', 0.005000114440917969, -0.0004136880860410308, 0.0, 'arm stopped', -0.3190000057220459, -0.0003793304249302132, 0.0, 'arm moving up', -0.40199971199035645, -0.0154292070655484, 0.0]
[3.099175321837009, 0.0, 'closing forearm', 1449151424.771, 0.0027091527267515403, 0.0, 'forearm stopped', 0.19700002670288086, 0.016030138936215632, 0.0, 'opening forearm', 0.004999876022338867, 0.0030040476542558814, 0.0, 'forearm stopped', -0.1919999122619629, -0.0004136880860410308, 0.0, 'arm stopped', -0.5160000324249268, -0.0003793304249302132, 0.0]
