dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5
1.3916714020760534, 0.0, 'closing forearm', 1447945994.941, 1.3916714020760534, 0.0, 0.0, 1447945994.941, 0.0, 0.0, 0.0, -1447945994.941, 0.0, 0.0, 0.0, -1447945994.941, 0.0, 0.0, 0.0, -1447945994.941, 0.0, 0.0
1.3916714020760534, 0.0, 'arm moving up', 1447945995.04, 1.3916714020760534, 0.0, 'closing forearm', 0.0989999771118164, 1.3916714020760534, 0.0, 0.0, 1447945994.842, 0.0, 0.0, 0.0, -1447945995.04, 0.0, 0.0, 0.0, -1447945995.04, 0.0, 0.0
1.3916714020760534, 0.0, 'hand above elbow', 1447945995.04, 1.3916714020760534, 0.0, 'arm moving up', 0.0, 1.3916714020760534, 0.0, 'closing forearm', 0.0989999771118164, 1.3916714020760534, 0.0, 0.0, 1447945994.842, 0.0, 0.0, 0.0, -1447945995.04, 0.0, 0.0
1.394910724006268, 0.0, 'forearm stopped', 1447945995.136, 0.0032393219302144782, 0.0, 'hand above elbow', 0.09599995613098145, 1.3916714020760534, 0.0, 'arm moving up', -0.09599995613098145, 1.3916714020760534, 0.0, 'closing forearm', 0.003000020980834961, 1.3916714020760534, 0.0, 0.0, 1447945994.746, 0.0, 0.0
1.395457955071739, 0.0, 'arm stopped', 1447945995.241, 0.0005472310654710544, 0.0, 'forearm stopped', 0.10500001907348633, 0.0032393219302144782, 0.0, 'hand above elbow', -0.009000062942504883, 1.3916714020760534, 0.0, 'arm moving up', -0.20099997520446777, 1.3916714020760534, 0.0, 'closing forearm', -0.10199999809265137, 1.3916714020760534, 0.0
1.395457955071739, 0.0, 'closing forearm', 1447945995.34, 0.0005472310654710544, 0.0, 'arm stopped', 0.0989999771118164, 0.0005472310654710544, 0.0, 'forearm stopped', 0.006000041961669922, 0.0032393219302144782, 0.0, 'hand above elbow', -0.10800004005432129, 1.3916714020760534, 0.0, 'arm moving up', -0.2999999523162842, 1.3916714020760534, 0.0
1.3952111440357924, 0.0, 'forearm stopped', 1447945995.54, -0.0002468110359465925, 0.0, 'closing forearm', 0.20000004768371582, 0.0005472310654710544, 0.0, 'arm stopped', -0.10100007057189941, 0.0005472310654710544, 0.0, 'forearm stopped', -0.1940000057220459, 0.0032393219302144782, 0.0, 'hand above elbow', -0.3080000877380371, 1.3916714020760534, 0.0
1.3951949425608365, 0.0, 'arm moving down', 1447945995.64, -1.6201474955845896e-05, 0.0, 'forearm stopped', 0.10000014305114746, -0.0002468110359465925, 0.0, 'closing forearm', 0.09999990463256836, 0.0005472310654710544, 0.0, 'arm stopped', -0.20100021362304688, 0.0005472310654710544, 0.0, 'forearm stopped', -0.29400014877319336, 0.0032393219302144782, 0.0
1.3951949425608365, 0.0, 'closing forearm', 1447945995.641, -1.6201474955845896e-05, 0.0, 'arm moving down', 0.0009999275207519531, -1.6201474955845896e-05, 0.0, 'forearm stopped', 0.09900021553039551, -0.0002468110359465925, 0.0, 'closing forearm', 0.0989999771118164, 0.0005472310654710544, 0.0, 'arm stopped', -0.20200014114379883, 0.0005472310654710544, 0.0
1.394940162134757, 0.0, 'opening forearm', 1447945995.74, -0.000254780426079515, 0.0, 'closing forearm', 0.0989999771118164, -1.6201474955845896e-05, 0.0, 'arm moving down', -0.09800004959106445, -1.6201474955845896e-05, 0.0, 'forearm stopped', 2.384185791015625e-07, -0.0002468110359465925, 0.0, 'closing forearm', 0.0, 0.0005472310654710544, 0.0
1.394940162134757, 0.0, 'hand under elbow', 1447945995.741, -0.000254780426079515, 0.0, 'opening forearm', 0.0009999275207519531, -0.000254780426079515, 0.0, 'closing forearm', 0.09800004959106445, -1.6201474955845896e-05, 0.0, 'arm moving down', -0.0989999771118164, -1.6201474955845896e-05, 0.0, 'forearm stopped', -0.0009996891021728516, -0.0002468110359465925, 0.0
1.3933797320580135, 0.0, 'arm stopped', 1447945995.937, -0.0015604300767435575, 0.0, 'hand under elbow', 0.1960000991821289, -0.000254780426079515, 0.0, 'opening forearm', -0.19500017166137695, -0.000254780426079515, 0.0, 'closing forearm', -0.09800004959106445, -1.6201474955845896e-05, 0.0, 'arm moving down', -0.2950000762939453, -1.6201474955845896e-05, 0.0
1.3934920711611238, 0.0, 'forearm stopped', 1447945996.14, 0.00011233910311037043, 0.0, 'arm stopped', 0.20300006866455078, -0.0015604300767435575, 0.0, 'hand under elbow', -0.006999969482421875, -0.000254780426079515, 0.0, 'opening forearm', -0.39800024032592773, -0.000254780426079515, 0.0, 'closing forearm', -0.30100011825561523, -1.6201474955845896e-05, 0.0
1.3949096709522029, 0.0, 'arm moving up', 1447945996.838, 0.0014175997910790272, 0.0, 'forearm stopped', 0.6979999542236328, 0.00011233910311037043, 0.0, 'arm stopped', -0.49499988555908203, -0.0015604300767435575, 0.0, 'hand under elbow', -0.7049999237060547, -0.000254780426079515, 0.0, 'opening forearm', -1.0960001945495605, -0.000254780426079515, 0.0
1.3949096709522029, 0.0, 'closing forearm', 1447945996.838, 0.0014175997910790272, 0.0, 'arm moving up', 0.0, 0.0014175997910790272, 0.0, 'forearm stopped', 0.6979999542236328, 0.00011233910311037043, 0.0, 'arm stopped', -0.49499988555908203, -0.0015604300767435575, 0.0, 'hand under elbow', -0.7049999237060547, -0.000254780426079515, 0.0
