[0.0, 0.0, 'forearm stopped', 1448361515.932, 0, 0, 0.0, 1448361515.932, 0.0, 0.0, 0.0, -1448361515.932, 0.0, 0.0, 0.0, -1448361515.932, 0.0, 0.0, 0.0, -1448361515.932, 0.0, 0.0]
[3.0452078110678644, 0.0, 'opening forearm', 1448361516.236, 3.0452078110678644, 0.0, 'forearm stopped', 0.3040001392364502, 0, 0, 0.0, 1448361515.6279998, 0.0, 0.0, 0.0, -1448361516.236, 0.0, 0.0, 0.0, -1448361516.236, 0.0, 0.0]
[3.0472565896608153, 0.0, 'forearm stopped', 1448361516.432, 0.0020487785929508284, 0.0, 'opening forearm', 0.1959998607635498, 3.0452078110678644, 0.0, 'forearm stopped', 0.10800027847290039, 0, 0, 0.0, 1448361515.432, 0.0, 0.0, 0.0, -1448361516.432, 0.0, 0.0]
[3.049089735845553, 0.0, 'closing forearm', 1448361516.734, 0.0018331461847376218, 0.0, 'forearm stopped', 0.3020000457763672, 0.0020487785929508284, 0.0, 'opening forearm', -0.10600018501281738, 3.0452078110678644, 0.0, 'forearm stopped', -0.1939997673034668, 0, 0, 0.0, 1448361515.1299999, 0.0, 0.0]
[3.0421373631445476, 0.0, 'forearm stopped', 1448361517.137, -0.006952372701005238, 0.0, 'closing forearm', 0.4030001163482666, 0.0018331461847376218, 0.0, 'forearm stopped', -0.10100007057189941, 0.0020487785929508284, 0.0, 'opening forearm', -0.509000301361084, 3.0452078110678644, 0.0, 'forearm stopped', -0.5969998836517334, 0, 0]
[3.04319787043175, 0.0, 'opening forearm', 1448361517.533, 0.0010605072872023058, 0.0, 'forearm stopped', 0.3959999084472656, -0.006952372701005238, 0.0, 'closing forearm', 0.0070002079010009766, 0.0018331461847376218, 0.0, 'forearm stopped', -0.49699997901916504, 0.0020487785929508284, 0.0, 'opening forearm', -0.9050002098083496, 3.0452078110678644, 0.0]
[3.045220441819022, 0.0, 'forearm stopped', 1448361517.631, 0.0020225713872719098, 0.0, 'opening forearm', 0.09800004959106445, 0.0010605072872023058, 0.0, 'forearm stopped', 0.29799985885620117, -0.006952372701005238, 0.0, 'closing forearm', -0.09099984169006348, 0.0018331461847376218, 0.0, 'forearm stopped', -0.5950000286102295, 0.0020487785929508284, 0.0]
[3.048735644401174, 0.0, 'closing forearm', 1448361517.935, 0.0035152025821520994, 0.0, 'forearm stopped', 0.3039999008178711, 0.0020225713872719098, 0.0, 'opening forearm', -0.20599985122680664, 0.0010605072872023058, 0.0, 'forearm stopped', -0.006000041961669922, -0.006952372701005238, 0.0, 'closing forearm', -0.39499974250793457, 0.0018331461847376218, 0.0]
[3.053821452767484, 0.0, 'forearm stopped', 1448361518.035, 0.005085808366310118, 0.0, 'closing forearm', 0.10000014305114746, 0.0035152025821520994, 0.0, 'forearm stopped', 0.20399975776672363, 0.0020225713872719098, 0.0, 'opening forearm', -0.3059999942779541, 0.0010605072872023058, 0.0, 'forearm stopped', -0.10600018501281738, -0.006952372701005238, 0.0]
[3.0540988443118318, 0.0, 'closing forearm', 1448361518.133, 0.00027739154434769375, 0.0, 'forearm stopped', 0.09799981117248535, 0.005085808366310118, 0.0, 'closing forearm', 0.0020003318786621094, 0.0035152025821520994, 0.0, 'forearm stopped', 0.10599994659423828, 0.0020225713872719098, 0.0, 'opening forearm', -0.40399980545043945, 0.0010605072872023058, 0.0]
[3.0540988443118318, 0.0, 'forearm stopped', 1448361518.233, 0.00027739154434769375, 0.0, 'closing forearm', 0.10000014305114746, 0.00027739154434769375, 0.0, 'forearm stopped', -0.0020003318786621094, 0.005085808366310118, 0.0, 'closing forearm', -0.09799981117248535, 0.0035152025821520994, 0.0, 'forearm stopped', 0.00599980354309082, 0.0020225713872719098, 0.0]
[3.0563634209912522, 0.0, 'opening forearm', 1448361518.535, 0.0022645766794204825, 0.0, 'forearm stopped', 0.3020000457763672, 0.00027739154434769375, 0.0, 'closing forearm', -0.20199990272521973, 0.00027739154434769375, 0.0, 'forearm stopped', -0.3040003776550293, 0.005085808366310118, 0.0, 'closing forearm', -0.39999985694885254, 0.0035152025821520994, 0.0]
[3.0577984679347074, 0.0, 'forearm stopped', 1448361518.734, 0.0014350469434551982, 0.0, 'opening forearm', 0.19899988174438477, 0.0022645766794204825, 0.0, 'forearm stopped', 0.10300016403198242, 0.00027739154434769375, 0.0, 'closing forearm', -0.4009997844696045, 0.00027739154434769375, 0.0, 'forearm stopped', -0.5030002593994141, 0.005085808366310118, 0.0]
[3.0620840124648954, 0.0, 'closing forearm', 1448361519.033, 0.004285544530187924, 0.0, 'forearm stopped', 0.2990000247955322, 0.0014350469434551982, 0.0, 'opening forearm', -0.10000014305114746, 0.0022645766794204825, 0.0, 'forearm stopped', -0.1959998607635498, 0.00027739154434769375, 0.0, 'closing forearm', -0.6999998092651367, 0.00027739154434769375, 0.0]
[3.0608114952405376, 0.0, 'arm moving up', 1448361519.234, -0.0012725172243577276, 0.0, 'closing forearm', 0.20099997520446777, 0.004285544530187924, 0.0, 'forearm stopped', 0.09800004959106445, 0.0014350469434551982, 0.0, 'opening forearm', -0.30100011825561523, 0.0022645766794204825, 0.0, 'forearm stopped', -0.3969998359680176, 0.00027739154434769375, 0.0]
[3.0608114952405376, 0.0, 'forearm stopped', 1448361519.234, -0.0012725172243577276, 0.0, 'arm moving up', 0.0, -0.0012725172243577276, 0.0, 'closing forearm', 0.20099997520446777, 0.004285544530187924, 0.0, 'forearm stopped', 0.09800004959106445, 0.0014350469434551982, 0.0, 'opening forearm', -0.30100011825561523, 0.0022645766794204825, 0.0]
